===== DIM_COUNTERPARTY TABLE =====
 counterparty_id |    counterparty_legal_name     | counterparty_legal_address_line_1 | counterparty_legal_address_line_2 | counterparty_legal_district | counterparty_legal_city | counterparty_legal_postal_code |      counterparty_legal_country       | counterparty_legal_phone_number 
-----------------+--------------------------------+-----------------------------------+-----------------------------------+-----------------------------+-------------------------+--------------------------------+---------------------------------------+---------------------------------
               1 | Fahey and Sons                 | 605 Haskell Trafficway            | Axel Freeway                      |                             | East Bobbie             | 88253-4257                     | Heard Island and McDonald Islands     | 9687 937447
               2 | Leannon, Predovic and Morar    | 079 Horacio Landing               |                                   |                             | Utica                   | 93045                          | Austria                               | 7772 084705
               3 | Armstrong Inc                  | 179 Alexie Cliffs                 |                                   |                             | Aliso Viejo             | 99305-7380                     | San Marino                            | 9621 880720
               4 | Kohler Inc                     | 37736 Heathcote Lock              | Noemy Pines                       |                             | Bartellview             | 42400-5199                     | Congo                                 | 1684 702261
               5 | Frami, Yundt and Macejkovic    | 364 Goodwin Streets               |                                   |                             | Sayreville              | 85544-4254                     | Svalbard & Jan Mayen Islands          | 0847 468066
               6 | Mraz LLC                       | 822 Providenci Spring             |                                   | Berkshire                   | Derekport               | 25541                          | Papua New Guinea                      | 4111 801405
               7 | Padberg, Lueilwitz and Johnson | 511 Orin Extension                | Cielo Radial                      | Buckinghamshire             | South Wyatt             | 04524-5341                     | Iceland                               | 2372 180716
               8 | Grant - Lakin                  | 511 Orin Extension                | Cielo Radial                      | Buckinghamshire             | South Wyatt             | 04524-5341                     | Iceland                               | 2372 180716
               9 | Price LLC                      | 34177 Upton Track                 |                                   |                             | Fort Shadburgh          | 55993-8850                     | Bosnia and Herzegovina                | 0081 009772
              10 | Bosco - Grant                  | 49967 Kaylah Flat                 | Tremaine Circles                  | Bedfordshire                | Beaulahcester           | 89470                          | Democratic People's Republic of Korea | 4949 998070
              11 | Corkery - Nienow               | 962 Koch Drives                   |                                   |                             | Hackensack              | 95316-4738                     | Indonesia                             | 5507 549583
              12 | Keeling - Emmerich             | 75653 Ernestine Ways              |                                   | Buckinghamshire             | North Deshaun           | 02813                          | Faroe Islands                         | 1373 796260
              13 | Hand, Krajcik and Kuhlman      | 34177 Upton Track                 |                                   |                             | Fort Shadburgh          | 55993-8850                     | Bosnia and Herzegovina                | 0081 009772
              14 | Hintz, Hayes and Will          | 0336 Ruthe Heights                |                                   | Buckinghamshire             | Lake Myrlfurt           | 94545-4284                     | Falkland Islands (Malvinas)           | 1083 286132
              15 | Emmerich, Rohan and Reynolds   | 962 Koch Drives                   |                                   |                             | Hackensack              | 95316-4738                     | Indonesia                             | 5507 549583
              16 | Hartmann, Franecki and Ratke   | 84824 Bryce Common                | Grady Turnpike                    |                             | Maggiofurt              | 50899-1522                     | Iraq                                  | 3316 955887
              17 | Kihn Group                     | 962 Koch Drives                   |                                   |                             | Hackensack              | 95316-4738                     | Indonesia                             | 5507 549583
              18 | Smith and Sons                 | 962 Koch Drives                   |                                   |                             | Hackensack              | 95316-4738                     | Indonesia                             | 5507 549583
              19 | Ondricka, Conroy and Turcotte  | 58805 Sibyl Cliff                 | Leuschke Glens                    | Bedfordshire                | Lake Arne               | 63808                          | Kiribati                              | 0168 407254
              20 | Yost, Watsica and Mann         | 179 Alexie Cliffs                 |                                   |                             | Aliso Viejo             | 99305-7380                     | San Marino                            | 9621 880720
(20 rows)

===== DIM_CURRENCY TABLE =====
 currency_id | currency_code |     currency_name     
-------------+---------------+-----------------------
           1 | GBP           | Great British Pounds
           2 | USD           | United States Dollars
           3 | EUR           | Euro
(3 rows)

===== DIM_DATE TABLE =====
  date_id   | year | month | day | day_of_week | day_name  | month_name | quarter 
------------+------+-------+-----+-------------+-----------+------------+---------
 2023-08-14 | 2023 |     8 |  14 |           1 | monday    | august     |       3
 2023-08-15 | 2023 |     8 |  15 |           2 | tuesday   | august     |       3
 2023-08-16 | 2023 |     8 |  16 |           3 | wednesday | august     |       3
 2023-08-17 | 2023 |     8 |  17 |           4 | thursday  | august     |       3
 2023-08-18 | 2023 |     8 |  18 |           5 | friday    | august     |       3
 2023-08-19 | 2023 |     8 |  19 |           6 | saturday  | august     |       3
 2023-08-20 | 2023 |     8 |  20 |           7 | sunday    | august     |       3
 2023-08-21 | 2023 |     8 |  21 |           1 | monday    | august     |       3
 2023-08-22 | 2023 |     8 |  22 |           2 | tuesday   | august     |       3
 2023-08-23 | 2023 |     8 |  23 |           3 | wednesday | august     |       3
 2023-08-24 | 2023 |     8 |  24 |           4 | thursday  | august     |       3
 2023-08-25 | 2023 |     8 |  25 |           5 | friday    | august     |       3
 2023-08-26 | 2023 |     8 |  26 |           6 | saturday  | august     |       3
 2023-08-27 | 2023 |     8 |  27 |           7 | sunday    | august     |       3
 2023-08-28 | 2023 |     8 |  28 |           1 | monday    | august     |       3
 2023-08-29 | 2023 |     8 |  29 |           2 | tuesday   | august     |       3
 2023-08-30 | 2023 |     8 |  30 |           3 | wednesday | august     |       3
 2023-08-31 | 2023 |     8 |  31 |           4 | thursday  | august     |       3
 2023-09-01 | 2023 |     9 |   1 |           5 | friday    | september  |       4
 2023-09-02 | 2023 |     9 |   2 |           6 | saturday  | september  |       4
 2023-09-03 | 2023 |     9 |   3 |           7 | sunday    | september  |       4
 2023-09-04 | 2023 |     9 |   4 |           1 | monday    | september  |       4
 2023-09-05 | 2023 |     9 |   5 |           2 | tuesday   | september  |       4
 2023-09-06 | 2023 |     9 |   6 |           3 | wednesday | september  |       4
 2023-09-07 | 2023 |     9 |   7 |           4 | thursday  | september  |       4
 2023-09-08 | 2023 |     9 |   8 |           5 | friday    | september  |       4
 2023-09-09 | 2023 |     9 |   9 |           6 | saturday  | september  |       4
 2023-09-10 | 2023 |     9 |  10 |           7 | sunday    | september  |       4
 2023-09-11 | 2023 |     9 |  11 |           1 | monday    | september  |       4
 2023-09-12 | 2023 |     9 |  12 |           2 | tuesday   | september  |       4
 2023-09-13 | 2023 |     9 |  13 |           3 | wednesday | september  |       4
 2023-09-14 | 2023 |     9 |  14 |           4 | thursday  | september  |       4
 2023-09-15 | 2023 |     9 |  15 |           5 | friday    | september  |       4
 2023-09-16 | 2023 |     9 |  16 |           6 | saturday  | september  |       4
 2023-09-17 | 2023 |     9 |  17 |           7 | sunday    | september  |       4
 2023-09-18 | 2023 |     9 |  18 |           1 | monday    | september  |       4
 2023-09-19 | 2023 |     9 |  19 |           2 | tuesday   | september  |       4
 2023-09-20 | 2023 |     9 |  20 |           3 | wednesday | september  |       4
 2023-09-21 | 2023 |     9 |  21 |           4 | thursday  | september  |       4
 2023-09-22 | 2023 |     9 |  22 |           5 | friday    | september  |       4
 2023-09-23 | 2023 |     9 |  23 |           6 | saturday  | september  |       4
 2023-09-24 | 2023 |     9 |  24 |           7 | sunday    | september  |       4
 2023-09-25 | 2023 |     9 |  25 |           1 | monday    | september  |       4
 2023-09-26 | 2023 |     9 |  26 |           2 | tuesday   | september  |       4
 2023-09-27 | 2023 |     9 |  27 |           3 | wednesday | september  |       4
 2023-09-28 | 2023 |     9 |  28 |           4 | thursday  | september  |       4
 2023-09-29 | 2023 |     9 |  29 |           5 | friday    | september  |       4
 2023-09-30 | 2023 |     9 |  30 |           6 | saturday  | september  |       4
 2023-10-01 | 2023 |    10 |   1 |           7 | sunday    | october    |       4
